parcours,num,oblig1,oblig2,oblig3,oblig4,cons1,cons2,cons3,cons4,cons5,equiv1,equiv2,equiv3,equiv4,equiv5
IMA,103,anglais,conferences,projet(6),ig3d,anum,mll,iamsi,ml,,flag,rp,dj,,
IMA,104,anglais,conferences,projet(6),ig3d,mll,anum,dj,rp,,ml,arob,dalas,,
IMA,105,anglais,conferences,projet(6),ig3d,anum,mll,ml,rp,,rital,dalas,dj,,
IMA,106,anglais,conferences,projet(6),ig3d,anum,mll,dj,ihm,,arob,fosyma,rp,,
IMA,107,anglais,conferences,projet(6),ig3d,mll,anum,dj,rp,,ml,iamsi,dalas,,
IMA,108,anglais,conferences,projet(6),ig3d,anum,mll,ml,iamsi,,flag,dalas,dj,,
IMA,109,ig3d,,,,anum,mll,ml,dalas,,ihm,rp,dj,,
IMA,110,,,,,mll,anum,dj,iamsi,,arob,ihm,dalas,,
IMA,111,anglais,conferences,projet(6),ig3d,mll,anum,dalas,dj,,ml,rp,iamsi,,
IMA,112,anglais,conferences,projet(6),ig3d,mll,anum,fosyma,rp,,dj,iamsi,ml,,
IMA,113,anglais,conferences,projet(6),ig3d,mll,anum,ml,dalas,,rital,rp,dj,,
IMA,114,anglais,conferences,projet(6),ig3d,anum,mll,ml,dalas,,arob,dj,rital,,
IMA,115,anglais,conferences,projet(6),ig3d,mll,anum,rital,ml,,dj,rp,ihm,,
IMA,116,anglais,conferences,projet(6),ig3d,mll,anum,dalas,dj,,fosyma,iamsi,arob,,
QI,117,fle,pqig,qiintro,anum,projet(9),dalas,,,,sdm,ig3d,flag,,
QI,118,fle,pqig,qiintro,anum,projet(9),ig3d,,,,dalas,flag,,,
QI,119,fle,pqig,qiintro,,projet(6),ig3d,dalas,,,anum_anum2,sdm,,,
QI,120,fle,pqig,qiintro,anum,projet(9),flag,,,,ig3d,dalas,sdm,,
QI,121,anglais,pqig,qiintro,anum,projet(9),sdm,,,,dalas,flag,ig3d,,
QI,122,anglais,pqig,qiintro,,projet(6),flag,dalas,,,ig3d,sdm,,,
QI,123,fle,pqig,qiintro,,projet(6),dalas,flag,,,sdm,anum_anum2,,,
QI,124,anglais,pqig,qiintro,,projet(6),dalas,sdm,,,ig3d,flag,,,
QI,125,anglais,pqig,qiintro,,projet(6),dalas,sdm,,,anum_anum2,ig3d,,,
QI,126,anglais,pqig,qiintro,anum,projet(9),flag,,,,ig3d,sdm,,,
QI,127,anglais,pqig,qiintro,anum,projet(9),flag,,,,ig3d,sdm,dalas,,
QI,128,fle,pqig,qiintro,,projet(6),dalas,ig3d,,,sdm,flag,,,
QI,129,fle,pqig,qiintro,,projet(6),ig3d,dalas,,,flag,sdm,,,
QI,130,fle,pqig,qiintro,,projet(6),sdm,ig3d,,,dalas,anum_anum2,,,
QI,131,anglais,pqig,qiintro,anum,projet(9),dalas,,,,sdm,ig3d,,,
QI,132,fle,pqig,qiintro,anum,projet(9),dalas,,,,ig3d,sdm,,,
QI,133,fle,pqig,qiintro,anum,projet(9),ig3d,,,,sdm,dalas,flag,,
SAR,134,,,,,pnl,srcs,aps,ca,,fpga,multi,ml,sftr,sas
SAR,135,anglais_,conferences,projet(3),,ar,pnl,sas,sftr,,srcs,sam,multi,ioc,ca
SAR,136,anglais_,conferences,projet(3),,pnl,sas,sftr,srcs,,isec,ar,sam,aps,multi
SAR,137,anglais_,conferences,projet(3),,pnl,ar,sftr,fpga,,multi,ioc,sas,ml,srcs
SAR,138,anglais_,conferences,projet(3),,sas,sftr,ar,srcs,,pnl,ioc,isec,fpga,multi
SAR,139,anglais_,conferences,projet(3),,multi,pnl,sftr,sas,,ar,isec,srcs,sam,ioc
SAR,140,anglais_,conferences,projet(3),,pnl,multi,ar,sas,,sftr,srcs,aps,ca,fpga
SAR,141,anglais_,conferences,projet(3),,ar,pnl,sas,sftr,,srcs,ml,sam,aps,ca
SAR,142,anglais_,conferences,projet(3),,sam,sftr,ar,pnl,,multi,sas,isec,srcs,aps
SAR,143,anglais_,conferences,projet(3),,pnl,srcs,ar,sftr,,sas,ioc,multi,ml,sam
SAR,144,anglais_,conferences,projet(3),,pnl,ioc,ar,srcs,,sas,sftr,multi,fpga,aps
SAR,145,anglais_,conferences,projet(3),,pnl,ioc,sas,ar,,srcs,multi,sftr,fpga,ca
SAR,146,anglais_,conferences,projet(3),,ar,sftr,srcs,sas,,pnl,ioc,multi,sam,ml
SAR,147,anglais_,conferences,projet(3),,pnl,sas,srcs,ioc,,sftr,ar,ca,isec,multi
SAR,148,anglais_,conferences,projet(3),,pnl,sftr,sas,srcs,,ar,multi,sam,ioc,ca
SAR,149,anglais_,conferences,projet(3),,pnl,srcs,ar,ioc,,sam,multi,sftr,sas,fpga
SAR,150,anglais_,conferences,projet(3),,pnl,sftr,sas,ar,,srcs,isec,ioc,multi,aps
SAR,151,anglais_,conferences,projet(3),,srcs,pnl,sas,fpga,,multi,ar,sftr,ioc,isec
SAR,152,anglais_,conferences,projet(3),,pnl,srcs,ar,sas,,sftr,sam,multi,fpga,ioc
SAR,153,anglais_,conferences,projet(3),,pnl,srcs,ar,sftr,,sas,ca,ioc,multi,sam
SAR,154,anglais_,conferences,projet(3),,pnl,ar,sas,srcs,,sftr,ioc,isec,multi,ca
SAR,155,anglais_,conferences,projet(3),,pnl,ioc,ar,srcs,,sas,multi,sftr,sam,fpga
SAR,156,anglais_,conferences,projet(3),,pnl,srcs,ar,sas,,sam,isec,multi,ca,ioc
